X,Y,id,value
16.8458315137837,51.1220983963833,"1960","7"
16.8458315137837,51.1209707043555,"1961","6"
16.8458315137837,51.1198429847997,"1962","8"
16.8458315137837,51.117587463103,"1964","5"
16.847387441497,51.1452100168466,"2085","11"
16.847387441497,51.1350648761997,"2094","6"
16.847387441497,51.1339375007277,"2095","6"
16.847387441497,51.1328100977302,"2096","5"
16.847387441497,51.1316826672073,"2097","6"
16.847387441497,51.1305552091585,"2098","8"
16.847387441497,51.1294277235836,"2099","7"
16.847387441497,51.1204068480187,"2107","5"
16.847387441497,51.1192791146987,"2108","10"
16.847387441497,51.1181513538504,"2109","5"
16.847387441497,51.1170235654735,"2110","8"
16.8489433692103,51.1502817511485,"2225","7"
16.8489433692103,51.141264949291,"2233","8"
16.8489433692103,51.1401377252041,"2234","10"
16.8489433692103,51.1367558877983,"2237","5"
16.8489433692103,51.1356285536138,"2238","6"
16.8489433692103,51.1345011919043,"2239","7"
16.8489433692103,51.1333738026696,"2240","3"
16.8489433692103,51.1322463859095,"2241","5"
16.8489433692103,51.1311189416236,"2242","7"
16.8489433692103,51.1299914698118,"2243","6"
16.8489433692103,51.1209707043555,"2251","7"
16.8489433692103,51.1198429847997,"2252","6"
16.8489433692103,51.1187152377157,"2253","6"
16.8504992969236,51.1497182526372,"2371","6"
16.8504992969236,51.1485912349732,"2372","7"
16.8504992969236,51.1452100168466,"2375","8"
16.8504992969236,51.144082889092,"2376","7"
16.8504992969236,51.1429557338142,"2377","7"
16.8504992969236,51.141828551013,"2378","6"
16.8504992969236,51.1407013406881,"2379","6"
16.8504992969236,51.1395741028392,"2380","5"
16.8504992969236,51.1361922241467,"2383","4"
16.8504992969236,51.1305552091585,"2388","7"
16.8504992969236,51.1294277235836,"2389","6"
16.8504992969236,51.1204068480187,"2397","6"
16.8504992969236,51.1192791146987,"2398","4"
16.8520552246369,51.1592967916026,"2507","6"
16.8520552246369,51.1502817511485,"2515","3"
16.8520552246369,51.1491547472455,"2516","6"
